French,English
partie,part
histoire,history
seulement,only
demande,request
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
